4	21	ANAT|CHEM	oral	New possibilities in oral immunoprophylaxis of newborn diarrhea in calves--a field study using specific egg antibodies.	ANAT
10	28	PHEN|PHYS	adaptation	Use of speech audiograms in adaptation to hearing aids.	PHYS
7	0	ANAT|CHEM	vaginal	Vaginal surgery in urinary stress incontinence.	ANAT
8	52	CHEM|OBJC	solution	After dissolving the lutropin alfa powder, draw the solution back into the syringe and re-inject it into the vial containing GONAL-f.	CHEM
7	25	DISO|LIVB	elderly	Digestive emergencies of elderly patients.	LIVB
7	0	ANAT|CHEM	vaginal	Vaginal metastasis from a pyelic epithelioma.	ANAT
10	41	CHEM|DISO	diagnostic	Death with dignity? Assisted death after diagnostic error.	DISO
7	42	CHEM|DISO	malaria	The Global Fund to fight HIV/AIDS, TB and malaria policy issues.	DISO
4	60	ANAT|LIVB	body	When an infant is given the vaccine, the immune system (the body’s natural defences) will make antibodies against the most commonly occurring types of rotavirus.	ANAT
6	63	DISO|LIVB	single	PegIntron PegIntron pharmacodynamics were assessed in a rising single-dose trial in healthy subjects by examining changes in oral temperature, concentrations of effector proteins such as serum neopterin and 2’5’- oligoadenylate synthetase (2’5’-OAS), as well as white cell and neutrophil counts.	NONE
11	3	DISO|LIVB	scleroderma	Is scleroderma an allo-immune disease?.	DISO
8	94	DISO|PHEN|PHYS	exposure	In clinical studies with 73 previously treated patients (PTP, defined as having more than 100 exposure days), followed over four years, no de-novo inhibitors were observed.	PHYS
5	57	DISO|PHYS	death	Study of the histologic course of FCdR-induced embryonal death in the mouse.	PHYS
7	4	DEVI|OBJC	devices	Two devices for perfusion of isolated rat brain.	DEVI
9	11	DISO|PHYS	tolerance	Notions on tolerance and autoimmunity. Distinction between self and non-self. Positive and negative thymic selection; peripheric tolerance; consequences for understanding of anergy and autoimmune diseases.	PHYS
10	63	PHEN|PHYS	adaptation	Roentgenological studies on the action of stomach tonus during adaptation to altitude.	PHYS
10	22	CHEM|DISO	diagnostic	Campylobacter pylori: diagnostic value of the urease test during endoscopy.	DISO
7	18	DISO|LIVB	elderly	Definition of the elderly patient. Demographic data.	LIVB
7	69	LIVB|OBJC	chicken	Partially compensated respiratory acidosis in the blood of embryonic chicken during the normal development.	LIVB
7	27	CHEM|DISO	leprosy	The biology of the African leprosy patient. Apropos of 442 cases.	DISO
7	91	CHEM|DISO	leprosy	Proximal reactivation of intrinsic muscles in the fingers in cases of cubital paralysis in leprosy.	DISO
10	67	PHEN|PHYS	conduction	Findings on continuous recording of blood circulation with thermal conduction tubes; observations on the skeletal muscles of cats.	PHYS
5	16	LIVB|PHYS	nurse	Function of the nurse in school hygiene.	LIVB
8	11	DISO|PHEN|PHYS	exposure	Glyphosate exposure.	PHYS
17	26	DISO|PHYS	arterial pressure	Differences in taking the arterial pressure.	PHYS
10	23	PHEN|PHYS	conduction	Anatomic distribution, conduction properties and recurrences after ablation of multiple in comparison with single accessory conduction pathways.	PHYS
7	75	CHEM|DISO	related	The relationship between OPD features of personality structure and symptom-related and interpersonal outcome of inpatient psychotherapy.	NONE
6	21	CHEM|OBJC	dental	Salivary mucosal and dental complications of neuropsychotropic treatments.	NONE
4	0	ANAT|CHEM	oral	Oral anticoagulants In two clinical studies, one in normal volunteers and the other in hypercholesterolaemic patients, simvastatin 20-40 mg/ day modestly potentiated the effect of coumarin anticoagulants: the prothrombin time, reported as International Normalized Ratio (INR), increased from a baseline of 1.7 to 1.8 and from 2.6 to 3.4 in the volunteer and patient studies, respectively.	ANAT
5	77	GEOG|LIVB	paris	History of hospital personnel clothing. The case of the Public Assistance of Paris.	GEOG
5	11	CHEM|LIVB|OBJC	fiber	Reissner's fiber in the central canal of primate spinal cord.	CHEM
7	0	ANAT|CHEM	thyroid	Thyroid orbital pathologies in ophthalmological settings.	ANAT
4	89	DISO|PHYS	talk	If you use more STELARA than you should If you have used or been given too much STELARA, talk to a doctor or pharmacist straight away.	NONE
6	34	ANAT|DEVI	suture	Simplified method of transosseous suture fixation.	DEVI
4	12	ANAT|LIVB	root	The role of root filling in vital extirpation.	ANAT
6	21	DISO|LIVB	single	Post-operative pain: single intravenous or subcutaneous injection.	NONE
7	12	CHEM|DISO	malaria	Outbreak of malaria.	DISO
7	13	CHEM|DISO	leprosy	Treatment of leprosy by D-cycloserine.	DISO
9	11	DISO|PHYS	tolerance	Short-term tolerance of three days pulse methyprednisolone therapy: a prospective study in 146 patients.	PHYS
9	63	DISO|PHYS	tolerance	The thrombin inhibitor as expression of the endogenous heparin tolerance; determination and clinical significance.	PHYS
5	14	CHEM|PHEN	color	Advantages of color lymphography in surgery of malignant gynecologic tumors.	NONE
4	12	ANAT|LIVB	root	Scaling and root planing. Its effect on dentin permeability (1).	ANAT
17	76	DISO|PHYS	arterial pressure	Correlations between the sodium of the arterial walls, arterial lesions and arterial pressure in hypertensive rabbits.	PHYS
5	30	ANAT|DEVI	crown	The marginal periodontium and crown margins.	ANAT
9	54	CHEM|DISO	hepatitis	Echographic changes in the wall of the gallbladder in hepatitis.	DISO
7	13	DISO|LIVB	elderly	Falls in the elderly.	LIVB
4	12	ANAT|CHEM	oral	84 days for oral topotecan + BSC, 90 days for BSC] and for whom retreatment with i. v chemotherapy was not considered appropriate.	ANAT
7	24	DISO|LIVB	newborn	Results of care for the newborn in neonatal ward under medical supervision.	LIVB
7	18	DISO|PHYS	balance	The importance of balance, generalization and positivity as cognitive structural rules.	PHYS
5	16	CHEM|OBJC	glass	Packaging Vial (glass) Vial (glass) Vial (glass) Vial (glass) Vial (glass) Vial (glass)	OJBC
9	151	OBJC|PHYS	transport	Measurements and calculations on aglycon liberation from highly masked CMT selectines with beta-glucuronidase at pH 6. Realization of the principle of transport form-activity in anti-cancer drugs: theory of selectivity.	PHYS
6	15	ANAT|CHEM	grafts	Bone extension grafts for correction of skeletal deformities.	ANAT
12	0	DISO|PHEN	transmission	Transmission studies of amyloidosis by parabiosis of isogenetic mice.	NONE
5	51	GEOG|LIVB	paris	Irregular antibody screening by Groupamatic at the Paris (C.N.T.S.) and Toulouse (C.R.T.S.) blood transfusion centers.	GEOG
4	0	ANAT|LIVB	iris	Iris granulomas of unknown aetiology.	ANAT
4	22	DISO|LIVB|PHYS	aged	Operative risk in the aged patient.	PHYS
4	0	ANAT|OBJC	milk	Milk-free nutrition with Sojaval of infants with lactose malabsorption or galactose intolerance.	OBJC
4	21	ANAT|CHEM	oral	New possibilities of oral penicillin therapy.	ANAT
8	59	DISO|PHEN|PHYS	pressure	Measurement of cohesion of skin layers by means of suction pressure; attempt at an exact examination of the Nikolsky phenomenon.	PHYS
7	44	ANAT|CHEM	retinal	Photocoagulation of macular edema following retinal venous thrombosis.	ANAT
